Identifier	Supplier Name	Country
1114781000189109	Kusum Healthcare Private Limited		
1082381000189106	Miotic Pharmaceutical Private Limited	India	
1902021000189104	Regal Healthcare Limited		
1473831000189109	Vaks Pharma		
1535531000189102	Margams Pharma Private Limited		
1082291000189103	East African (India) Overseas	India	
20211000189103	Neiss Labs Limited		
1052321000189103	Hy-gro Chemicals Pharmtek Private Limited		
1001251000189100	Bluepipes Healthcare Private Limited		
1650501000189105	Lumaire Labs Private Limited		
1134171000189102	Swede India Healthcare Private Limited		
1149481000189106	Instant Remedies Private Limited	India	
14781000189103	Servocare Lifesciences Private Limited		
15471000189108	Finesse Pharmaceuticals Private Limited		
1049341000189101	Estrellas Life Sciences Private Limited		
55771000189106	Moraceae Pharmaceuticals Private Limited	India	
1117881000189108	Brahamputra Research Private Limited		
1475051000189109	Anthem Biopharma		
291521000189100	Prochem India Private Limited		
1128141000189101	Panzer Pharmaceutical Private Limited	India	
1750551000189101	Zenotis Healthcare	India	
765841000189103	Cmr Lifesciences Private Limited	India	
1013711000189108	Growell Vision	India	
12031000189105	MMC Health Care Limited		
1025481000189104	Biomorph Lifesciences Private Limited	India	
1589501000189103	Cornel Pharmaceuticals Private Limited		
1189581000189102	Revive Healthcare Private Limited		
416731000189104	NV Lifecare Private Limited		
65561000189104	Bewell Labs Private Limited	India	
1099561000189101	AAR ESS Remedies Private Limited	India	
78431000189107	Lloyd Healthcare Private Limited	India	
1753011000189103	Eminent Healthcare & Cosmetic Private Limited		
89501000189103	Sinkhai Healthcare Limited		
13321000189103	Salud Care (India) Private Limited	India	
185271000189103	Inga Pharmaceuticals		
1036431000189108	Dorphyll Healthcare Private Limited		
1879161000189102	Sulzderma Pharmaceuticals Private Limited		
221481000189106	Medichem Pharmaceutical India Private Limited	India	
1451551000189104	Agex Laboratories Private Limited	India	
1045291000189100	Allencia Biosciences		
1159011000189108	Dutech Remedies (India) Private Limited		
1475421000189105	Biozenesis Healthcare		
1047101000189107	Scoria Pharmaceuticals Private Limited		
75861000189105	Merit Organics Limited		
1088701000189102	Indo-Safe Pharmaceutical		
87701000189100	Apostle Remedies		
374571000189104	Hindustan Bio-Tech- Limited		
1777881000189109	Pharvax Biosciences		
391101000189109	Startos Healthcare Private Limited		
1044201000189108	Bio Guard Organics Limited		
38281000189107	Hiral Labs Limited		
129701000189107	Genpax Pharma		
385221000189107	Idol Biotec Private Limited		
241831000189108	Artel Laboratories Private Limited		
1837171000189104	Crestmed Pharmaceuticals Private Limited		
134641000189101	Merion Care Private Limited		
1712791000189105	Ardent Life Sciences Private Limited		
1092271000189101	Amyteez Healthcare Private Limited		
1210681000189108	Rosnet Pharma		
1242701000189101	Simon Healthcare	India	
1684481000189103	Lap Farmacia Limited	India	
1776881000189106	Safecon Lifesciences Private Limited		
1437541000189105	4Care Lifescience Private Limited	India	
1249211000189103	Serve Health Care Private Limited		
1475261000189104	Wisteria Healthcare Llp		
1051481000189100	Medwock Pharmaceuticals Private Limited		
19731000189103	Caplet India Private Limited		
1478711000189101	Mrl Pharma (opc) Private Limited	India	
1087581000189101	G Nine Formulations Private Limited		
103801000189109	Mamta Pharmaceuticals Private Limited		
1223411000189103	Assam Chemical & Pharmaceutical Private Limited	India	
1223881000189105	Rain Remedies		
1478641000189105	Precise Lifescience	India	
1542411000189100	Ranbass Pharmaceuticals		
1051141000189104	Pray Healthcare LLP		
13571000189108	Khandelwal Laboratories Private Limited		
1072401000189104	Rayrise Healthcare		
1451511000189103	Candle Pharmaceuticals		
350611000189102	Universal Drug House Private Limited		
1001111000189109	Aman Healthcare		
677361000189102	Alpha Lab	India	
1254161000189107	Merind Limited		
51111000189102	Entod Pharmaceuticals Limited	India	
56681000189107	Indi Pharma Private Limited	India	
1230761000189100	Kelvin Pharmaceutical Laboratories Private Limited		
78181000189102	Indian Drugs and Pharmaceuticals Limited	India	
1128701000189103	DM Pharma		
29751000189104	Ajanta Pharma Limited	India	
1138511000189107	Zion Pharmaceuticals Private Limited		
44301000189102	Dey's Medical Stores (Manufacturing) Limited		
1514021000189102	Oxygen Pharma Care Private Limited		
22881000189105	Pranshu Healthcare		
1591031000189103	Saiboon Lifecare Private Limited		
12911000189101	Anthus Pharmaceuticals Private Limited		
676241000189105	Actiza Pharmaceutical Private Limited		
1127521000189103	Medipol Pharmaceuticals India Private Limited	India	
1007061000189102	MaxQure Labs		
1024111000189103	Apikos Pharma		
1878221000189108	Indica Biolife Sciences		
1012411000189106	La Med India	India	
1814081000189100	UVA Pharmaceuticals	India	
1000271000189102	Nature Biotech Private Limited		
1924851000189100	Provimi Animal Nutrition India Private Limited		
52091000189104	Aventis Pasteur India Limited		
1046811000189100	Man Serve Pharma		
1155151000189106	Caudex Lifecare Private Limited		
1033541000189107	Mediarka Lifesciences Private Limited		
1134841000189102	Emphasis Pharma Private Limited	India	
675691000189108	Spm Drugs Private Limited	India	
1649441000189100	Medbaxy Healthcare Private Limited		
34201000189106	TTK Healthcare Limited		
1100481000189106	Kav Laboratories		
1315861000189104	LH Pharma		
1183171000189108	Sehwin Healthcare Private Limited		
1452701000189103	B J Healthcare		
1160941000189109	Shriti Pharmaceutical Private Limited		
1075701000189101	GR Healthcare Laboratories	Not Available	
1736631000189108	Mediflowers India Private Limited	India	
1258391000189109	Ambrosia Pharma Private Limited		
1036531000189109	Biocon Limited	India	
24591000189102	Lark Laboratories (India) Limited		
1200831000189107	Stellar Biolabs		
37531000189109	Ronyd Healthcare Private Limited	India	
1608571000189106	Pranshul Lifesciences Private Limited		
12941000189100	AGIO Pharmaceuticals Limited		
1045551000189108	Paridhi Remedies		
1003001000189107	Sarthi Life Science Private Limited		
1452371000189107	Slash Lifevision		
92161000189103	Petrosolv (India) Limited		
1191911000189100	Acron Laboratories Private Limited	Not Available	
1491371000189109	Optimus Pharma Private Limited		
1011911000189109	Gavisun Healthcare Private Limited	India	
1681421000189102	Hospimax Healthcare Private Limited		
29321000189105	Aaron Pharmaceuticals Private Limited	India	
37001000189109	Omega Pharmaceuticals Private Limited		
20131000189103	Dabur India Limited	India	
1294311000189100	Gennova Biopharmaceuticals Limited	India	
1784401000189102	Orsova Healthcare		
245811000189100	Pharmakon Life Sciences Private Limited		
1004281000189106	Acto Pharma Private Limited	India	
1178701000189102	Ascent Laboratories Private Limited		
1714131000189102	Omega Biotech Limited		
1239441000189102	Sri Biotech & Pharmaceuticals		
1193081000189107	Emil Pharmaceutical Industries Private Limited		
1478261000189109	Lenimen Biotech Private Limited	India	
1037061000189106	Gatlen Biotech		
1019361000189109	Renvic Life Sciences Private Limited		
1346871000189106	VS Healthcare		
1007141000189102	Drbest Pharmaceuticals Private Limited	India	
1683421000189101	Daxia Healthcare Private Limited		
1474551000189100	Shrine Pharmaceuticals Private Limited		
1141721000189100	Smayan Healthcare Private Limited		
284231000189101	Bioquip pharmaceuticals		
153571000189105	Aaltramed Health Care Private Limited		
1058981000189101	True Care Biomedix		
1781311000189108	NDMA Healthcare Private Limited	India	
1478751000189102	Arnon Healthcare Llp		
10621000189102	ABS Remedies Private Limited		
1025921000189109	Amor Pharmaceutical Private Limited		
1718091000189109	Neovae Pharma		
1096171000189106	Ginpax Healthcare		
1807501000189105	Taksa Lifescience Private Limited		
1130961000189101	Scot Derma Private Limited		
1738581000189105	Iretus Biotech Private Limited	India	
1211351000189100	Next Labs Private Limited		
1739211000189108	Aarti Life Science Llp	India	
384121000189102	Saviour Mediscience Private Limited		
1002511000189108	Tesni Pharmaceuticals		
1102021000189101	Medmyndrz Pharma		
1138911000189101	Vts Life Sciences		
13401000189102	Shreya Life Sciences Private Limited	India	
13921000189104	Serene Life Sciences Private Limited		
1837201000189103	Zydus Cadila Healthcare Limited	India	
1162041000189109	Torino Laboratories Private Limited		
200981000189102	Fleming & Flora		
55091000189107	Segment Care		
1294371000189107	Amwell Pharmaceuticals Private Limited		
1811111000189107	Kepran Healthcare	India	
1068331000189106	Astronia Life Sciences		
1239891000189107	Endolabs Limited		
1138341000189101	Cenofi Healthcare Private Limited	Not Available	
169401000189108	Unilex Lifesciences Private Limited		
1028291000189109	Scala Pharmaceuticals		
1753461000189108	Dolphin Laboratories Limited		
1095771000189103	Disecure Pharma		
1477261000189105	Nabarun Life Sciences		
1151551000189103	Normak Laboratories Private Limited		
1714561000189102	Bi-Cure Remedies	India	
1877981000189103	Emergee Pharma Private Limited		
1292101000189107	Glenwell Pharma		
1713861000189102	Being Care Pharmaceuticals		
23051000189104	Kniss Laboratories Private Limited		
1652141000189104	Avoniks Health Care Private Limited		
1418931000189100	Nippon Life Sciences Private Limited		
97291000189102	Unimax Laboratories Private Limited	India	
383191000189102	Makmaul Laboratories Private Limited		
132721000189109	Rishab Healthcare Private Limited		
1439081000189101	TMS India Private Limited		
1753761000189104	Bharat Antibiotics Inc		
45761000189100	Arvincare Pharma	India	
673271000189105	Emson Medi Chem Private Limited		
94101000189105	Medizone Health Care Private Limited		
1653351000189106	Sentro Pharma and Health Care Llp		
679461000189100	Medic Biologicals And Pharmaceuticals Private Limited		
1878341000189108	Gems Pharmaceuticals Private Limited		
877871000189105	Chicky Pharma Private Limited	India	
32821000189107	Cadex Laboratories		
1088201000189109	Emocare (OPC) Private Limited		
85341000189105	Eva Biotech Private Limited		
65121000189101	Burgeon Pharmaceuticals Private Limited		
1142351000189102	Halcyon Drugs and Formulation Private Limited		
1220841000189108	Spire Pharma		
9351000189105	Bharat Serums and Vaccines Limited	India	
1072041000189106	Idem Health Care Private Limited		
65641000189101	SAF Fermion Limited		
1385641000189101	Exquisite Pharma		
1658311000189100	D D Pharmaceuticals	India	
14301000189106	Venus Remedies Limited	India	
1650351000189103	Omni Lifesciences Private Limited		
1233381000189102	Lapo Pharma		
676881000189101	Acichem Laboratories Private Limited	India	
1147131000189106	Dupen Laboratories Private Limited		
1568621000189104	Criticine Care		
1591051000189107	Innovius Life Drugs		
798261000189105	Liveon Healthcare Private Limited		
1736441000189100	Biotrex Nutraceuticals		
1654411000189103	Allbrids Lifescience Private Limited		
50541000189103	Paras Pharmaceuticals Limited	India	
121921000189104	LEKAR PHARMA Limited		
676461000189105	Lemford Biotech private Limited		
1567671000189101	Sanmai Pharma		
1121091000189102	Darwin Formulations Private Limited		
1847011000189109	Devyam Medicare Private Limited		
1652441000189105	Eustoma Laboratories Private Limited	India	
1779701000189102	Euphony Healthcare		
1709801000189102	Genesis Biotec Healthcare Private Limited		
1479331000189100	Latika Biotech Private Limited		
126481000189101	Phytochem Pharmaceuticals Private Limited		
19081000189102	Torrent Laboratories Private Limited		
1716651000189107	Sbeed Pharmaceuticals	India	
1083871000189105	Grownbury Pharmaceuticals Private Limited		
1040381000189101	Kendall Healthcare Private Limited		
1165181000189107	Comex Pharma	India	
140061000189101	Signity Pharmaceuticals Private Limited		
249701000189107	Elysium Pharmaceuticals Limited	Not Available	
23541000189106	Altius Life Sciences		
1590321000189105	Hfa Pharma Ethics Private Limited		
37681000189109	Amray Healthcare		
54931000189106	Mcastro Pharma		
1878731000189101	Dr Lee & Morris Pharma Private Limited		
1839031000189107	Trikona Pharmaceuticals Private Limited		
1177331000189105	Anitek Lifecare		
100681000189108	Intermed Pharma Private Limited		
1394681000189106	Proqol Health Care Private Limited	India	
1783451000189104	Heramb Healthcare		
1239851000189102	Dermacure Pharmaceuticals Private Limited		
1260111000189107	Cutis Derma Care		
817821000189104	argus		
230221000189100	Syndicate Overseas Private Limited		
10651000189109	Kamron Laboratories Limited	India	
1493551000189105	Gryff Pharmaceuticals Private Limited		
297531000189108	Reliable Medicare Private Limited		
1782701000189103	Taksa LIfe Sciences	India	
1160891000189105	Targof Pure Drugs Private Limited		
17071000189105	Bal Pharma Limited	India	
1435501000189103	Scortis Healthcare India Private Limited		
1806281000189103	Gruentzig Pharmaceuticals	India	
1654401000189100	Genostic Pharma Private Limited		
1394771000189103	Zenvita Healthcare Private Limited	India	
119551000189107	Mac Organics Private Limited		
1124041000189107	Vibcare Pharma Private Limited		
1538421000189107	Ambitions Drugs Private Limited		
1711991000189101	Bendic Health Care Private Limited		
1166861000189100	Geolife Sciences		
32081000189100	Signova Pharma Private Limited		
1133361000189106	Epsilon Biotech		
1536651000189103	Louis And Clark Pharmaceutical Llp		
1248721000189109	Martine Healthcare		
1652051000189102	Alencik Pharmaceuticals Private Limited		
1854171000189105	Mediup Healthcare Private Limited		
1749811000189108	Axico Health Care Private Limited		
356881000189105	Varroc Lifesciences Private Limited		
1756221000189109	Lifecred Healthcare Private Limited		
1851041000189101	Him Pharmaceuticals Private Limited		
1006791000189106	Ernst Pharmacia	India	
1193361000189103	Doctris Lifesciences		
1179731000189103	Hab Pharma	India	
1021541000189105	Lucent Biotech Limited		
1004931000189100	Shree Anand Life Sciences Limited		
1058561000189102	Conch Healthcare Private Limited		
189341000189100	Jasco labs Private Limited		
1608011000189106	Allen Homoeo And Herbal Products Limited		
1115171000189109	Arvind Laboratories Private Limited	India	
1238891000189101	Strenuous Healthcare Private Limited		
75031000189108	Rytus Therapeutics Limited		
41951000189103	Om Biomedic Private Limited		
141051000189105	Klarvoyant Biogenics Private Limited		
1226701000189104	Zenexa Healthcare		
23231000189102	Allergan India Private Limited	India	
58221000189107	Miracle Remedies Private Limited		
1098541000189109	Rich Faith Pharmaceuticals Private Limited		
1251711000189108	Emphaatic Pharmaceuticals Private Limited		
21851000189108	Panacea Biotec Limited		
38411000189104	Cachet Pharmaceuticals Private Limited	India	
1110531000189106	Kaiser Drugs Private Limited		
1539991000189105	Lurex Healthcare Private Limited		
1192731000189103	Remed Healthcare Private Limited		
1135061000189109	Ablus Pharma		
1165971000189107	Yodley Life Sciences Private Limited		
1193071000189105	Ornate Labs Private Limited	Not Available	
270571000189101	Oxytech Laboratories		
45811000189109	Willow Pharmaceutical Private Limited		
1228751000189104	Life Pharma		
1783821000189109	Hindayur Life Sciences Private Limited		
1002881000189102	Maxmed Life Sciences Private Limited		
1119801000189109	Jaywin Remedies Private Limited		
1198261000189103	Striveo Health Care Private Limited		
1570341000189107	Divine Laboratories Private Limited		
1533181000189109	Diues Biotech		
100451000189103	Optho Remedies Private Limited		
1715801000189102	Kalmia Healthcare		
12441000189109	Vivid Biotek Private Limited	India	
1475081000189101	Stensa Life Sciences		
1103031000189106	Zenlabs India		
1169241000189107	Curelogic Pharma		
1903291000189102	Skvamps Pharma Private Limited		
1478951000189100	Auftritt Healthcare Private Limited		
1807361000189100	Medi Products Private Limited		
1476931000189108	AV Grow Healthcare		
1075881000189102	Aegle Health Private Limited		
1814501000189104	Marck Biosciences Limited		
1807241000189105	Alcia Pharma	India	
1847261000189103	Neutec Healthcare Private Limited		
1118581000189107	Neelkanth Healthcare Private Limited		
1650321000189105	Redmax Pharma		
1049121000189107	Blue Star Laboratories Private Limited		
1142631000189100	Pinenut Life Care India Private Limited	India	
1149321000189100	Moreish Pharmaceuticals Private Limited	India	
1227131000189105	Royal India Pharmaceuticals		
1684531000189101	Paviour Pharmaceuticals Private Limited		
1122381000189107	Von Remedies		
1105501000189105	Medset Pharma		
381791000189102	Ikon Remedies Private Limited	India	
1778291000189108	Velnik India Private Limited	India	
1717331000189106	Aspo Healthcare Private Limited		
30321000189100	Cronus Biotech Limited		
1535361000189100	Earum Pharmaceuticals Limited		
62561000189108	Dexter laboratories Private Limited		
1031591000189101	Swakam Biotech Private Limited		
60641000189105	Talson Pharmaceuticals		
25821000189104	Unichem Laboratories Limited	India	
1738601000189104	Ferring Pharmaceuticals	India	
29171000189106	Bombay Tablet Manufacturing Co Private Limited		
1162431000189105	Auk Lifecare Private Limited		
110291000189105	Curex Pharmaceuticals Private Limited		
1906371000189102	Medifame Biotech		
1534961000189103	Senen Biotech	Not Available	
61281000189106	Himsagar Laboratories Limited		
1511791000189103	Brunhild Pharmaceutical Private Limited	India	
1813791000189103	Research Medicure		
1031601000189109	I.I.F.A. Health Care		
365071000189103	Aeran Lab (India) Private Limited		
1234661000189102	Dhara Formulation Private Limited		
1205071000189109	Amplec Healthcare Private Limited		
1109921000189107	Carenix Bio Pharma Private Limited		
1140531000189100	Isika Pharma Inc		
29941000189100	Nicholas Piramal India Limited		
1695661000189109	Alexcyl Healthcare Private Limited		
1782111000189102	Skg International Limited		
1569871000189107	John Biotech Private Limited		
123671000189105	Parangat Organics		
1103091000189107	Rapid Life Drugs & Healthcare	Not Available	
1214111000189103	Prochem Bioceuticals Private Limited		
1031321000189105	Zeeford Life Sciences		
1696601000189100	Matrixx Formulation		
1107951000189109	Saykam Pharmaceuticals		
1227221000189102	Wezen Chemicals Private Limited		
1510431000189102	Holy Lifesciences	India	
1807891000189104	Arsa Life Care Private Limited		
10461000189109	Captab Biotec Limited		
59491000189101	Ravian Pharmaceuticals Limited	India	
1034121000189109	Arya Life Science Private Limited		
1116671000189107	Shadye-Lynn Remedies	India	
9951000189106	Cipla Limited	India	
998551000189101	Motif Health Care	Not Available	
40541000189101	Sigma Laboratories Private Limited		
391041000189106	Ergos Life Sciences Private Limited		
1540411000189101	Wonset Health Care Private Limited	India	
54181000189108	Kee Pharma Limited	India	
1126991000189109	Progen Nutraceuticals Private Limited		
153181000189102	Syndicate Life Sciences Private Limited		
40741000189107	Azine Healthcare Private Limited		
788761000189101	Wings Biotech Limited		
1153261000189104	Spey Medical Private Limited		
61631000189105	Iatros Pharmaceutical Private Limited	India	
1714481000189107	Maxnova Healthcare		
39061000189101	Talent Labs Private Limited		
107171000189100	Quest Pharmaceuticals Private Limited		
56421000189109	Shalman Pharmaceuticals Private Limited	India	
1258001000189103	Madhav Drugs Private Limited		
83591000189109	Siesta Pharmaceuticals Private Limited		
1653581000189106	SBS Bioscience		
1747631000189105	Zechstein Life Sciences		
29711000189103	Merck Limited		
179141000189108	Graciera pharmaceuticals LLP		
1538361000189107	Wellsa Pharmaceuticals Private Limited		
10681000189101	Lupin Laboratories Limited	India	
1002021000189109	Ravian Life Science Private Limited		
